"Tabela 200 - População residente, por sexo, situação e grupos de idade - Amostra - Características Gerais da População"
"Variável - População residente (Pessoas)"
"Município";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Município";"Grupo de idade";"2010"
"Município";"Grupo de idade";"Total"
"Município";"Grupo de idade";"Total"
"Salto do Jacuí (RS)";"Total";"11880"
"Salvador das Missões (RS)";"Total";"2669"
"Salvador do Sul (RS)";"Total";"6747"
"Sananduva (RS)";"Total";"15373"
"Santa Bárbara do Sul (RS)";"Total";"8829"
"Santa Cecília do Sul (RS)";"Total";"1655"
"Santa Clara do Sul (RS)";"Total";"5697"
"Santa Cruz do Sul (RS)";"Total";"118374"
"Santa Maria (RS)";"Total";"261031"
"Santa Maria do Herval (RS)";"Total";"6053"
"Santa Margarida do Sul (RS)";"Total";"2352"
"Santana da Boa Vista (RS)";"Total";"8242"
"Sant'Ana do Livramento (RS)";"Total";"82464"
"Santa Rosa (RS)";"Total";"68587"
"Santa Tereza (RS)";"Total";"1720"
"Santa Vitória do Palmar (RS)";"Total";"30990"
"Santiago (RS)";"Total";"49071"
"Santo Ângelo (RS)";"Total";"76275"
"Santo Antônio do Palma (RS)";"Total";"2139"
"Santo Antônio da Patrulha (RS)";"Total";"39685"
"Santo Antônio das Missões (RS)";"Total";"11210"
"Santo Antônio do Planalto (RS)";"Total";"1987"
"Santo Augusto (RS)";"Total";"13968"
"Santo Cristo (RS)";"Total";"14378"
"Santo Expedito do Sul (RS)";"Total";"2461"
"São Borja (RS)";"Total";"61671"
"São Domingos do Sul (RS)";"Total";"2926"
"São Francisco de Assis (RS)";"Total";"19254"
"São Francisco de Paula (RS)";"Total";"20537"
"São Gabriel (RS)";"Total";"60425"
"São Jerônimo (RS)";"Total";"22134"
"São João da Urtiga (RS)";"Total";"4726"
"São João do Polêsine (RS)";"Total";"2635"
"São Jorge (RS)";"Total";"2774"
"São José das Missões (RS)";"Total";"2720"
"São José do Herval (RS)";"Total";"2204"
"São José do Hortêncio (RS)";"Total";"4094"
"São José do Inhacorá (RS)";"Total";"2200"
"São José do Norte (RS)";"Total";"25503"
"São José do Ouro (RS)";"Total";"6904"
"São José do Sul (RS)";"Total";"2082"
"São José dos Ausentes (RS)";"Total";"3290"
"São Leopoldo (RS)";"Total";"214087"
"São Lourenço do Sul (RS)";"Total";"43111"
"São Luiz Gonzaga (RS)";"Total";"34556"
"São Marcos (RS)";"Total";"20103"
"São Martinho (RS)";"Total";"5773"
"São Martinho da Serra (RS)";"Total";"3201"
"São Miguel das Missões (RS)";"Total";"7421"
"São Nicolau (RS)";"Total";"5727"
"São Paulo das Missões (RS)";"Total";"6364"
"São Pedro da Serra (RS)";"Total";"3315"
"São Pedro das Missões (RS)";"Total";"1886"
"São Pedro do Butiá (RS)";"Total";"2873"
"São Pedro do Sul (RS)";"Total";"16368"
"São Sebastião do Caí (RS)";"Total";"21932"
"São Sepé (RS)";"Total";"23798"
"São Valentim (RS)";"Total";"3632"
"São Valentim do Sul (RS)";"Total";"2168"
"São Valério do Sul (RS)";"Total";"2647"
"São Vendelino (RS)";"Total";"1944"
"São Vicente do Sul (RS)";"Total";"8440"
"Sapiranga (RS)";"Total";"74985"
"Sapucaia do Sul (RS)";"Total";"130957"
"Sarandi (RS)";"Total";"21285"
"Seberi (RS)";"Total";"10897"
"Sede Nova (RS)";"Total";"3011"
"Segredo (RS)";"Total";"7158"
"Selbach (RS)";"Total";"4929"
"Senador Salgado Filho (RS)";"Total";"2814"
"Sentinela do Sul (RS)";"Total";"5198"
"Serafina Corrêa (RS)";"Total";"14253"
"Sério (RS)";"Total";"2281"
"Sertão (RS)";"Total";"6294"
"Sertão Santana (RS)";"Total";"5850"
"Sete de Setembro (RS)";"Total";"2124"
"Severiano de Almeida (RS)";"Total";"3842"
"Silveira Martins (RS)";"Total";"2449"
"Sinimbu (RS)";"Total";"10068"
"Sobradinho (RS)";"Total";"14283"
"Soledade (RS)";"Total";"30044"
"Tabaí (RS)";"Total";"4131"
"Tapejara (RS)";"Total";"19250"
"Tapera (RS)";"Total";"10448"
"Tapes (RS)";"Total";"16629"
"Taquara (RS)";"Total";"54643"
"Taquari (RS)";"Total";"26092"
"Taquaruçu do Sul (RS)";"Total";"2966"
"Tavares (RS)";"Total";"5351"
"Tenente Portela (RS)";"Total";"13719"
"Terra de Areia (RS)";"Total";"9878"
"Teutônia (RS)";"Total";"27272"
"Tio Hugo (RS)";"Total";"2724"
"Tiradentes do Sul (RS)";"Total";"6461"
"Toropi (RS)";"Total";"2952"
"Torres (RS)";"Total";"34656"
"Tramandaí (RS)";"Total";"41585"
"Travesseiro (RS)";"Total";"2314"
"Três Arroios (RS)";"Total";"2855"
"Três Cachoeiras (RS)";"Total";"10217"
"Três Coroas (RS)";"Total";"23848"
"Três de Maio (RS)";"Total";"23726"
"Três Forquilhas (RS)";"Total";"2914"
"Três Palmeiras (RS)";"Total";"4381"
"Três Passos (RS)";"Total";"23965"
"Trindade do Sul (RS)";"Total";"5787"
"Triunfo (RS)";"Total";"25793"
"Tucunduva (RS)";"Total";"5898"
"Tunas (RS)";"Total";"4395"
"Tupanci do Sul (RS)";"Total";"1573"
"Tupanciretã (RS)";"Total";"22281"
"Tupandi (RS)";"Total";"3924"
"Tuparendi (RS)";"Total";"8557"
"Turuçu (RS)";"Total";"3522"
"Ubiretama (RS)";"Total";"2296"
"União da Serra (RS)";"Total";"1487"
"Unistalda (RS)";"Total";"2450"
"Uruguaiana (RS)";"Total";"125435"
"Vacaria (RS)";"Total";"61342"
"Vale Verde (RS)";"Total";"3253"
"Vale do Sol (RS)";"Total";"11077"
"Vale Real (RS)";"Total";"5118"
"Vanini (RS)";"Total";"1984"
"Venâncio Aires (RS)";"Total";"65946"
"Vera Cruz (RS)";"Total";"23983"
"Veranópolis (RS)";"Total";"22810"
"Vespasiano Corrêa (RS)";"Total";"1974"
"Viadutos (RS)";"Total";"5311"
"Viamão (RS)";"Total";"239384"
"Vicente Dutra (RS)";"Total";"5285"
"Victor Graeff (RS)";"Total";"3036"
"Vila Flores (RS)";"Total";"3207"
"Vila Lângaro (RS)";"Total";"2152"
"Vila Maria (RS)";"Total";"4221"
"Vila Nova do Sul (RS)";"Total";"4221"
"Vista Alegre (RS)";"Total";"2832"
"Vista Alegre do Prata (RS)";"Total";"1569"
"Vista Gaúcha (RS)";"Total";"2759"
"Vitória das Missões (RS)";"Total";"3485"
"Westfália (RS)";"Total";"2793"
"Xangri-lá (RS)";"Total";"12434"
"Fonte: IBGE - Censo Demográfico"

"Notas"
"1 - Para o ano de 1991, dados do Universo. Para os demais anos, dados da Amostra"
"2 - Até o ano de 1991 os grupos de idade vão até 80 anos ou mais; a partir de 2000, vão até 100 anos ou mais."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
